图书编号,图书名称,作者,出版社,图书类型,数量,价格
E00401,最好的时光在路上,郭子鹰,中信出版社,旅游,1,37
E00402,我的职业是旅行,小鹏,中信出版社,旅游,1,29
E00403,中国自助游,《中国自助游》编辑部,光明日报出版社,旅游,1,28
E00404,孤独星球Lonely Planet旅行指南系列,澳大利亚Lonely Planet公司,中国地图出版社,旅游,1,25
E00405,孤独星球Lonely Planet“IN”系列澳大利亚Lonely Planet公司,,中国地图出版社,旅游,1,40
E00406,不小心，日子过得这么有趣,垒抠,中信出版社,旅游,1,47
E00407,去，你的旅行,阿Sam,中信出版社,旅游,1,47
E00408,《海洋旅游学导论》,李隆华，俞树彪,浙江大学出版社,旅游,1,26
E00409,《生态旅游》,David Weaver,南开大学出版社,旅游,1,20
E00410,《城市旅游 : 原理·案例》,保继刚,南开大学出版社,旅游,1,26
E00411,《城市休闲旅游 : 理论·案例》,"叶文, 王越平, 马谊妮",南开大学出版社,旅游,1,22
E00412,《生态旅游 : 全球观点与中国实践》,宋瑞,中国水利水电出版社,旅游,1,37
E00413,《遗产旅游》," 戴伦·J. 蒂莫西, 斯蒂芬·W. 博伊德",中国水利水电出版社,旅游,1,43
E00414,《商务旅游策划与管理》,王缇萦,中国水利水电出版社,旅游,1,44
E00415,《城市生态与旅游经济导论》,李建龙,中国水利水电出版社,旅游,1,49
E00416,《生态旅游学》,严力蛟,中国环境科学出版社,旅游,1,28
E00417,《民俗风情旅游》,"邓永进, 薛群慧, 赵伯乐",中国环境科学出版社,旅游,1,46
E00418,《生态旅游》,张建萍,中国旅游出版社,旅游,1,41
E00419,《民俗文化的现代旅游表达》,麻益兵,北京大学出版社,旅游,1,48
E00420,《世界遗产旅游概论》,彭顺生,北京大学出版社,旅游,1,34
E00421,《温泉开发的策划与规划 : 构筑旅游与休闲的温泉世界 : the construction》,"王艳平, 王捷",北京大学出版社,旅游,1,50
E00422,《生态旅游》,"杨桂华, 钟林生, 明庆忠",北京大学出版社,旅游,1,42
E00423,《生态旅游经济关系和谐发展论》,唐静,中国环境科学出版社,旅游,1,43
E00424,《会展旅游》,贾晓龙,清华大学出版社,旅游,1,42
E00425,《生态旅游发展的理论与实践》,邱云美,清华大学出版社,旅游,1,40
E00426,城变，一个中国传统城市的细胞再造,王志刚,人民出版社,旅游,1,24
E00427,《中国民俗旅游学新论》,周作明,旅游教育出版社,旅游,1,38
E00428,《出国自助游教室》,三少,机械工业出版社,旅游,1,23
E00429,《文化遗产与旅游》, Dallen J. Timothy,机械工业出版社,旅游,1,42
E00430,我知道你在想什么,利丽安·格莱斯,中国旅游出版社,旅游,1,39
E00431,I Can旅游系列04,耐看工作室,中国旅游出版社,旅游,1,32
E00432,上海玩全指南,曹忆雯，赵如玺,中国旅游出版社,旅游,1,37
E00433,三十六计应用指南,周予香,中国旅游出版社,旅游,1,39
E00434,海外文摘.人物写真卷.二十周年典藏本,：何桂全，祝勇,中国旅游出版社,旅游,1,47
E00435,《金瓶梅》趣谈,张士魁,中国旅游出版社,旅游,1,34
E00436,月异星邪,古龙,中国旅游出版社,旅游,1,21
E00437,中国蜀道,王蓬,中国旅游出版社,旅游,1,30
E00438,世界万花筒.,沈国新,中国旅游出版社,旅游,1,30
E00439,哪里那里/,号角传媒 ,中国旅游出版社,旅游,1,20
E00440,洛阳散记,纪流 宋垒,中国旅游出版社,旅游,1,30
E00441,水灵魂,张彬 ,中国旅游出版社,旅游,1,36
E00442,"
智谋学
",张凯玲,中国旅游出版社,旅游,1,31
E00443,故宫丛谈,萧正文,中国旅游出版社,旅游,1,32
E00444,一个旅游领队的经历,戈根海姆,中国旅游出版社,旅游,1,38
E00445,红楼梦（精装）,曹雪芹、高鄂,中国旅游出版社,旅游,1,36
E00446,兰州,何效祖,中国旅游出版社,旅游,1,48
E00447,八年,邓伟,中国旅游出版社,旅游,1,27
E00448,2020全国民宿产业发展研究报告,：中国旅游协会民宿客栈与精品酒店分会,中国旅游出版社,旅游,1,22
E00449,蜀道青泥 ,商震,中国旅游出版社,旅游,1,35
E00450,"
五台山导游",魏国祚,中国旅游出版社,旅游,1,41
E00451,北京城市生活指南,mars编辑部,中国旅游出版社,旅游,1,25
E00452,中国现代游记选,马忠林,中国旅游出版社,旅游,1,23
E00453,五台山导游,魏国祚,中国旅游出版社,旅游,1,39
E00454,2020全国民宿产业发展研究报告,中国旅游协会民宿客栈与精品酒店分会,中国旅游出版社,旅游,1,50
E00455,正版 走遍全球,：周莉,中国旅游出版社,旅游,1,33
E00456,正版 世界著名游记丛书第四辑--纪德游记,安德烈·纪德,中国旅游出版社,旅游,1,45
E00457,香巴拉之魂秘境稻城,李忠东,中国旅游出版社,旅游,1,40
E00458,楚小香,古龙,中国旅游出版社,旅游,1,43
E00459,印度,日本大宝石出版社,中国旅游出版社,旅游,1,46
E00460,西南自助游攻略（上）,自助游攻略编委会,中国旅游出版社,旅游,1,21
E00461,长空自游系列：普吉岛,郑伟,中国旅游出版社,旅游,1,33
E00462,印度 众神眷顾之地,《图行世界》编辑部,中国旅游出版社,旅游,1,22
E00463,厦门攻略,《全球攻略》编写组,中国旅游出版社,旅游,1,30
E00464,北台湾二日游,行遍天下记者群,中国旅游出版社,旅游,1,27
E00465,正版书 河北.天津,编辑部,中国旅游出版社,旅游,1,44
E00466,旅游科研立项成果汇编,中国旅游研究院,中国旅游出版社,旅游,1,28
E00467,走遍全球：荷兰·比利时·卢森堡（,日本大宝石出版社,中国旅游出版社,旅游,1,39
E00468,香港澳门,日本大宝石出版社,中国旅游出版社,旅游,1,21
E00469,走遍全球：美国,日本大宝石出版社,中国旅游出版社,旅游,1,44
E00470,中国旅游法规全书,国家旅游局政策法规司,中国旅游出版社,旅游,1,35
E00471,家庭游伦敦 ,英国DK公司,中国旅游出版社,旅游,1,27
E00472,雪域圣殿-布达拉宫.,西藏布达拉宫管理处,中国旅游出版社,旅游,1,20
E00473,香港澳门深圳珠海,高云,中国旅游出版社,旅游,1,43
E00474,自助游东北华北,鲍威,中国旅游出版社,旅游,1,46
E00475,生活中500个禁区,韩枫,中国旅游出版社,旅游,1,38
E00476,海外领队培训教程：海外旅游目的地概况,曹景洲,中国旅游出版社,旅游,1,28
E00477,星级饭店访查规范饭店特殊情景题库 /,全国旅游星级饭店评定委员会办公室,中国旅游出版社,旅游,1,39
E00478,行行摄色 ,：杨大洲,中国旅游出版社,旅游,1,27
E00479,昆明大理丽江香格里拉攻略,《昆明,中国旅游出版社,旅游,1,40
E00480,会议型饭店精细化管理,王济明,中国旅游出版社,旅游,1,26
E00481,中国现代游记选 ,马忠林,中国旅游出版社,旅游,1,34
E00482,跟大师读懂古典戏剧,王国维 ,中国旅游出版社,旅游,1,27
E00483,前厅与客房管理,唐飞,中国旅游出版社,旅游,1,42
E00484,老眼看世界精选本,白永清,中国旅游出版社,旅游,1,25
E00485,中国现代游选,杨国璋,中国旅游出版社,旅游,1,39
E00486,西餐烹饪知识,李子厚,中国旅游出版社,旅游,1,21
E00487,【1988年一版一印】镜泊湖诗选,唐凤宽、肖行,中国旅游出版社,旅游,1,32
E00488,幽默语言操作,瓜田,中国旅游出版社,旅游,1,49
E00489,飞鸿雪泥,卢沙,中国旅游出版社,旅游,1,33
E00490,月异星邪 下册 书脊有破损,古龙,中国旅游出版社,旅游,1,23
E00491,蒋介石的八大金刚与十三太保,孔钓,中国旅游出版社,旅游,1,47
E00492,成都夜太High【馆藏】【内有泛黄】,伍远近 ,中国旅游出版社,旅游,1,42
E00493,3M老林的情与Hua/美团大学美酒学院大咖书系,：林聪、尹欣,中国旅游出版社,旅游,1,33
E00494,中国人物之最 ..,倪树春 ,中国旅游出版社,旅游,1,45
E00495,in hand首尔 5天4夜享乐 美容 文化体验全攻略,黄怀莹，唐祖湘文·图,中国旅游出版社,旅游,1,48
E00496,中国旅游必备 第二版·,：王正华,中国旅游出版社,旅游,1,38
E00497,中国名胜传说揽萃,程国富 ,中国旅游出版社,旅游,1,33
E00498,广州市越秀区文物景点集萃 千年风物,陈健秀,中国旅游出版社,旅游,1,45
E00499,古镇川行【书脊受损】,秦俭 ,中国旅游出版社,旅游,1,37
E00500,峨眉山旅游指南【内有笔迹】,苏皖,中国旅游出版社,旅游,1,26
F00501,读者,梁文道,甘肃人民出版社,杂志,1,5
F00502,中国国家地理,崔钟雷,中国国家地理杂志社,杂志,1,26
F00503,我们爱科学+宇宙奥秘,陈天昌,中国少年儿童新闻出版总社,杂志,1,20
F00504,新知,苗炜,生活·读书·新知三联书店,杂志,1,20
F00505,博物,张炜,《中国国家地理》杂志社,杂志,1,56
F00506,意林少年版,铁凝,意林杂志社,杂志,1,57
F00507,妈妈宝宝BOX宝贝盒子,王洪,宝贝盒子BOX杂志社,杂志,1,21
F00508,科学画报,余洪,上海科学技术出版社,杂志,1,15
F00509,孤独星球,刘琦,孤独星球杂志社,杂志,1,35
F00510,人与自然,周达,人与自然出版社,杂志,1,34
F00511,环球人文地理,王晓蕾,重庆市邮政局报刊发行局发报刊科,杂志,1,14
F00512,NationalGeographic国家地理 ,孙建军,美国国家地埋出版社,杂志,1,63
F00513,中国国家旅游,李风臣,中国国家旅游杂志社,杂志,1,13
F00514,旅行家,宁武,旅行家杂志社,杂志,1,15
F00515,汽车自驾游,汪森雷 ,汽车自驾游出版社,杂志,1,3
F00516,儿童文学（少年版）,刘庆邦,中国少年儿童新闻出版总社,杂志,1,5
F00517,童趣-环球探索（下：通识）,王安忆 ,童趣出版有限公司,杂志,1,7
F00518,博物,贾平凹,《中国国家地理》杂志社,杂志,1,8
F00519,环球科学,方令孺,《环球科学》杂志社有限公司,杂志,1,45
F00520,幼儿画报,鲁彦,中国少年儿童新闻出版总社,杂志,1,65
F00521,演讲与口才.学生版,粱遇春,吉林师范学院,杂志,1,34
F00522,妈咪宝贝,林徽因,妈咪宝贝杂志社,杂志,1,47
